"no.","name","census 2001","census 2006","calculation 2010","annualgrowth","latitude","longitude","parent division","name variants","metropolitan area"
546,"Palmerston","2 518","2 579","2 621",0.4,"43.83°N","80.85°W","Ontario"," "," "
547,"Pangnirtung","1 276","1 325","1 364",0.73,"66.13°N","65.72°W","Nunavut"," "," "
548,"Papineauville","1 559","1 503","1 456",-0.79,"45.62°N","75.02°W","Quebec"," "," "
549,"Paris","9 881","11 177","12 271",2.36,"43.20°N","80.38°W","Ontario"," "," "
550,"Parkhill","1 752","1 691","1 641",-0.75,"43.17°N","81.68°W","Ontario"," "," "
551,"Parksville","21 314","23 054","24 445",1.48,"49.33°N","124.33°W","British Columbia"," "," "
552,"Parrsboro","1 529","1 401","1 304",-1.78,"45.40°N","64.32°W","Nova Scotia"," "," "
553,"Parry Sound","6 124","5 828","5 592",-1.03,"45.33°N","80.03°W","Ontario"," "," "
554,"Pasadena","2 463","2 505","2 529",0.24,"49.03°N","57.61°W","Newfoundland and Labrador"," "," "
555,"Peace River","5 105","5 063","5 022",-0.2,"56.23°N","117.28°W","Alberta"," "," "
556,"Pemberton","1 825","2 373","2 905",5.19,"50.32°N","122.82°W","British Columbia"," "," "
557,"Pembroke","15 019","15 555","15 922",0.58,"45.83°N","77.12°W","Ontario"," "," "
558,"Penhold","1 729","1 961","2 159",2.43,"52.13°N","113.87°W","Alberta"," "," "
559,"Penticton","34 686","35 846","37 220",0.94,"49.50°N","119.59°W","British Columbia"," "," "
560,"Perth","6 136","6 032","5 936",-0.4,"44.88°N","76.23°W","Ontario"," "," "
561,"Perth-Andover","1 908","1 797","1 709",-1.25,"46.73°N","67.70°W","New Brunswick"," "," "
562,"Petawawa","10 656","10 547","10 435",-0.27,"45.90°N","77.28°W","Ontario"," "," "
563,"Peterborough","73 303","76 925","79 478",0.82,"44.30°N","78.34°W","Ontario"," ","Peterborough"
564,"Petrolia","5 163","5 418","5 610",0.87,"42.88°N","82.15°W","Ontario"," "," "
565,"Picton","4 563","4 375","4 222",-0.89,"44.02°N","77.15°W","Ontario"," "," "
566,"Pictou","3 875","3 813","3 753",-0.4,"45.68°N","62.71°W","Nova Scotia"," "," "
567,"Picture Butte","1 701","1 592","1 550",-0.67,"49.88°N","112.80°W","Alberta"," "," "
568,"Pierreville","2 137","2 132","2 122",-0.12,"46.07°N","72.80°W","Quebec"," "," "
569,"Pilot Butte","1 850","1 867","1 873",0.08,"50.47°N","104.42°W","Saskatchewan"," "," "
570,"Pinawa","1 500","1 430","1 374",-0.99,"50.15°N","95.88°W","Manitoba"," "," "
571,"Pincher Creek","3 666","3 625","3 587",-0.26,"49.48°N","113.95°W","Alberta"," "," "
572,"Plaster Rock","1 219","1 150","1 095",-1.22,"46.90°N","67.38°W","New Brunswick"," "," "
573,"Plessisville","7 070","6 975","6 882",-0.34,"46.22°N","71.77°W","Quebec"," "," "
574,"Ponoka","6 355","6 591","6 769",0.67,"52.68°N","113.57°W","Alberta"," "," "
575,"Pont-Rouge","4 898","5 179","5 393",1.02,"46.75°N","71.70°W","Quebec"," "," "
576,"Porcupine","7 196","7 031","6 886",-0.52,"48.47°N","81.20°W","Ontario","Soth Porcupine"," "
577,"Portage la Prairie","13 019","12 773","12 547",-0.45,"49.98°N","98.31°W","Manitoba"," "," "
578,"Port Alberni","20 314","20 189","20 224",0.04,"49.27°N","124.82°W","British Columbia"," "," "
579,"Port-Alfred-Bagotville","14 844","14 018","13 367",-1.18,"48.33°N","70.88°W","Quebec"," "," "
580,"Port-Cartier","5 756","5 523","5 332",-0.88,"50.04°N","66.86°W","Quebec"," "," "
581,"Port Dover","5 527","5 949","6 283",1.37,"42.78°N","80.20°W","Ontario"," ","Norfolk"
582,"Port Elgin","6 599","6 865","7 061",0.71,"44.43°N","81.38°W","Ontario"," "," "
583,"Port Hardy","3 772","3 285","3 013",-2.14,"50.72°N","127.50°W","British Columbia"," "," "
584,"Port Hawkesbury","3 701","3 517","3 368",-1.08,"45.60°N","61.35°W","Nova Scotia"," "," "
585,"Port Hope","11 718","12 356","12 720",0.73,"43.96°N","78.30°W","Ontario"," "," "
586,"Port MacNeill","2 821","2 623","2 472",-1.47,"50.58°N","127.10°W","British Columbia","Port McNeill"," "
587,"Portneuf","2 650","2 676","2 689",0.12,"46.68°N","71.88°W","Quebec"," "," "
588,"Port Perry","7 395","8 499","9 448",2.68,"44.10°N","78.93°W","Ontario"," ","Toronto"
589,"Port Stanley","2 444","2 454","2 455",0.01,"42.67°N","81.22°W","Ontario"," "," "
590,"Powassan","1 177","1 267","1 338",1.37,"46.07°N","79.35°W","Ontario"," "," "
591,"Powell River","13 214","12 972","12 693",-0.54,"49.85°N","124.52°W","British Columbia"," "," "
592,"Preeceville","1 074","1 050","1 028",-0.53,"51.95°N","102.67°W","Saskatchewan"," "," "
593,"Prescott","4 228","4 180","4 132",-0.29,"44.72°N","75.52°W","Ontario"," "," "
594,"Price","1 800","1 777","1 754",-0.33,"48.60°N","68.12°W","Quebec"," "," "
595,"Prince Albert","34 752","34 542","34 263",-0.2,"53.20°N","105.75°W","Saskatchewan"," "," "
596,"Prince George","66 871","65 082","63 605",-0.57,"53.91°N","122.77°W","British Columbia"," ","Prince George"
597,"Prince Rupert","13 799","12 128","11 193",-1.99,"54.32°N","130.31°W","British Columbia"," "," "
598,"Princeton","2 694","2 745","2 778",0.3,"49.45°N","120.50°W","British Columbia"," "," "
599,"Princeville","3 976","3 907","3 843",-0.41,"46.17°N","71.88°W","Quebec"," "," "
600,"Provost","1 980","2 072","2 143",0.85,"52.35°N","110.27°W","Alberta"," "," "
601,"Quebec","635 512","659 545","676 875",0.65,"46.82°N","71.23°W","Quebec","Québec","Québec"
602,"Quesnel","13 727","12 641","11 823",-1.66,"52.98°N","122.48°W","British Columbia"," "," "
603,"Rawdon","4 467","4 960","5 366",1.99,"46.03°N","73.70°W","Quebec"," "," "
604,"Raymond","3 200","3 205","3 203",-0.02,"49.47°N","112.67°W","Alberta"," "," "
605,"Red Deer","67 829","82 772","94 930",3.49,"52.27°N","113.83°W","Alberta"," "," "
606,"Red Lake","1 022","1 368","1 713",5.78,"","","Ontario"," "," "
607,"Redwater","2 172","2 192","2 204",0.14,"46.90°N","79.63°W","Alberta"," "," "
608,"Regina","178 225","179 246","178 809",-0.06,"50.45°N","104.61°W","Saskatchewan"," ","Regina"
609,"Regina Beach","1 446","1 700","1 921",3.1,"","","Saskatchewan"," "," "
610,"Renfrew","8 078","7 953","7 828",-0.4,"45.48°N","76.70°W","Ontario"," "," "
611,"Revelstoke","7 339","6 869","6 507",-1.34,"51.00°N","118.18°W","British Columbia"," "," "
612,"Richibukto","1 341","1 290","1 247",-0.84,"46.68°N","64.87°W","New Brunswick","Richibucto"," "
613,"Richmond","3 287","3 301","3 303",0.02,"45.18°N","75.83°W","Ontario"," ","Ottawa"
614,"Richmond","3 434","3 356","3 287",-0.52,"45.67°N","72.15°W","Quebec"," "," "
615,"Ridgetown","3 358","3 240","3 142",-0.76,"42.43°N","81.88°W","Ontario"," "," "
616,"Rigaud","2 484","2 728","2 926",1.77,"45.47°N","74.30°W","Quebec"," "," "
617,"Rimbey","2 154","2 252","2 327",0.82,"52.63°N","114.22°W","Alberta"," "," "
618,"Rimouski","35 561","35 948","36 560",0.42,"48.44°N","68.54°W","Quebec"," "," "
619,"Rivers","1 119","1 193","1 250",1.17,"50.03°N","100.22°W","Manitoba"," "," "
620,"Rivière-au-Renard","1 870","1 695","1 565",-1.98,"48.98°N","64.38°W","Quebec"," "," "
621,"Rivière-du-Loup","15 035","16 129","16 853",1.1,"47.84°N","69.54°W","Quebec"," "," "
622,"Roberts Creek","1 388","1 336","1 293",-0.81,"","","British Columbia"," "," "
623,"Roberval","9 012","8 692","8 426",-0.77,"48.52°N","72.24°W","Quebec"," "," "
624,"Roblin","1 818","1 672","1 562",-1.69,"51.23°N","101.35°W","Manitoba"," "," "
625,"Rockland","8 542","9 210","9 741",1.41,"45.53°N","75.28°W","Ontario"," "," "
626,"Rockwood","2 823","2 996","3 130",1.1,"43.62°N","80.13°W","Ontario"," "," "
627,"Rocky Mountain House","6 208","6 874","7 429",1.96,"52.37°N","114.92°W","Alberta"," "," "
628,"Rodney","1 102","1 091","1 080",-0.25,"42.57°N","81.68°W","Ontario"," "," "
629,"Rogersville","1 248","1 165","1 100",-1.43,"46.72°N","79.45°W","New Brunswick"," "," "
