"no.","name","census 2001","census 2006","calculation 2010","annualgrowth","latitude","longitude","parent division","name variants","metropolitan area"
1,"Abbotsford","129 989","138 986","149 088",1.77,"49.06°N","122.30°W","British Columbia","Matsqui","Vancouver"
2,"Acton","7 767","8 481","9 059",1.66,"43.63°N","80.03°W","Ontario"," ","Toronto"
3,"Acton Vale","5 052","5 236","5 368",0.62,"45.63°N","72.57°W","Quebec"," "," "
4,"Airdrie","20 382","28 892","37 242",6.55,"51.30°N","114.02°W","Alberta"," ","Calgary"
5,"Aklavik"," "," ",621,,"68.22°N","135.00°W","Northwest Territories"," "," "
6,"Alberton","1 115","1 081","1 052",-0.68,"46.80°N","64.07°W","Prince Edward Island"," "," "
7,"Aldergrove","11 910","12 363","12 695",0.66,"49.06°N","122.50°W","British Columbia"," ","Vancouver"
8,"Alençon","1 399","1 462","1 509",0.79,"46.07°N","73.13°W","Quebec"," "," "
9,"Alexandria","3 379","3 287","3 208",-0.61,"45.30°N","74.63°W","Ontario"," "," "
10,"Alfred","1 348","1 340","1 330",-0.19,"45.55°N","74.87°W","Ontario"," "," "
11,"Alliston","11 093","12 523","13 728",2.32,"44.15°N","79.87°W","Ontario"," "," "
12,"Alma","26 208","25 394","24 793",-0.6,"48.55°N","71.66°W","Quebec"," "," "
13,"Almonte","4 659","4 538","4 434",-0.58,"45.22°N","76.20°W","Ontario"," "," "
14,"Altona","3 470","3 746","3 964",1.42,"49.10°N","97.57°W","Manitoba"," "," "
15,"Amherst","9 502","9 547","9 496",-0.13,"45.83°N","64.21°W","Nova Scotia"," "," "
16,"Amherstburg","12 804","13 410","13 865",0.84,"42.10°N","83.10°W","Ontario"," ","Detroit-Windsor"
17,"Amigo Beach","1 215","1 129","1 063",-1.49,"44.77°N","79.34°W","Ontario"," "," "
18,"Amos","10 463","10 033","9 682",-0.89,"48.57°N","78.14°W","Quebec"," "," "
19,"Amqui","4 768","4 519","4 321",-1.11,"48.47°N","67.43°W","Quebec"," "," "
20,"Angus-Borden","9 722","8 615","8 014",-1.79,"44.32°N","79.88°W","Ontario","Angus"," "
21,"Antigonish","5 195","4 665","4 275",-2.16,"45.62°N","61.97°W","Nova Scotia"," "," "
22,"Armstrong","4 256","4 258","4 249",-0.05,"50.45°N","119.18°W","British Columbia"," "," "
23,"Arnold's Cove","1 024","1 003",983,-0.5,"47.77°N","53.99°W","Newfoundland and Labrador"," "," "
24,"Arnprior","9 100","9 076","9 033",-0.12,"45.43°N","76.37°W","Ontario"," "," "
25,"Arthur","2 284","2 327","2 355",0.3,"43.83°N","80.53°W","Ontario"," "," "
26,"Arviat","1 899","1 785","1 739",-0.65,"","","Nunavut"," "," "
27,"Asbestos","6 831","7 017","7 170",0.54,"45.78°N","71.95°W","Quebec"," "," "
28,"Ashcroft","1 788","1 664","1 569",-1.46,"50.72°N","121.27°W","British Columbia"," "," "
29,"Assiniboia","2 483","2 305","2 167",-1.53,"49.62°N","105.98°W","Saskatchewan"," "," "
30,"Athabasca","2 415","2 575","2 702",1.21,"54.72°N","113.27°W","Alberta"," "," "
31,"Atikokan","3 560","3 230","3 053",-1.4,"48.75°N","91.62°W","Ontario"," "," "
32,"Aylmer","7 254","7 163","7 074",-0.31,"42.78°N","80.98°W","Ontario"," "," "
33,"Ayr","3 636","3 742","3 816",0.49,"43.28°N","80.45°W","Ontario"," "," "
34,"Baie-Comeau","10 266","10 178","10 080",-0.24,"49.22°N","68.16°W","Quebec"," "," "
35,"Baie-Saint-Paul","4 870","4 545","4 294",-1.41,"47.43°N","70.50°W","Quebec"," "," "
36,"Balgonie","1 239","1 384","1 503",2.08,"","","Saskatchewan"," "," "
37,"Ballantrae",295,"1 278","1 649",6.58,"","","Ontario"," "," "
38,"Banff","7 135","6 700","6 537",-0.61,"51.17°N","115.57°W","Alberta"," "," "
39,"Barraute","1 161","1 133","1 108",-0.56,"48.43°N","77.63°W","Quebec"," "," "
40,"Barrhead","4 213","4 209","4 199",-0.06,"54.12°N","114.40°W","Alberta"," "," "
41,"Barrie","129 963","157 501","189 468",4.73,"44.38°N","79.68°W","Ontario"," ","Barrie"
42,"Barry's Bay","1 259","1 260","1 257",-0.06,"45.48°N","77.68°W","Ontario"," "," "
43,"Bassano","1 320","1 345","1 362",0.31,"50.78°N","112.47°W","Alberta"," "," "
44,"Bathurst","18 597","18 154","18 431",0.38,"47.62°N","65.65°W","New Brunswick"," "," "
45,"Bay Roberts","10 193","10 180","10 931",1.8,"47.59°N","53.29°W","Newfoundland and Labrador"," "," "
46,"Beamsville","9 047","9 703","10 220",1.31,"43.17°N","79.47°W","Ontario"," "," "
47,"Beauceville","3 924","3 795","3 687",-0.72,"46.20°N","70.77°W","Quebec"," "," "
48,"Beaumont","7 006","8 961","10 837",4.87,"53.35°N","113.42°W","Alberta"," ","Edmonton"
49,"Beaupré","5 202","5 539","5 800",1.16,"47.05°N","70.88°W","Quebec"," "," "
50,"Beausejour","2 772","2 823","2 855",0.28,"50.07°N","96.52°W","Manitoba","Beauséjour"," "
51,"Beaverlodge","2 110","2 264","2 388",1.34,"55.20°N","119.45°W","Alberta"," "," "
52,"Beaverton","3 065","2 970","2 890",-0.68,"44.43°N","79.15°W","Ontario"," "," "
53,"Bedford","2 667","2 612","2 562",-0.48,"45.12°N","72.98°W","Quebec"," "," "
54,"Beeton","3 822","3 887","3 928",0.26,"44.11°N","79.79°W","Ontario"," "," "
55,"Belleville","61 886","64 071","65 650",0.61,"44.17°N","77.38°W","Ontario"," ","Belleville"
56,"Belmont","1 819","1 885","1 933",0.63,"42.88°N","81.06°W","Ontario"," "," "
57,"Beloeil","43 235","45 299","46 839",0.84,"45.55°N","73.23°W","Quebec"," ","Montréal"
58,"Bernierville","1 359","1 101",991,-2.6,"46.10°N","71.54°W","Quebec"," "," "
59,"Berthierville","4 340","4 391","4 418",0.15,"46.08°N","73.17°W","Quebec"," "," "
60,"Berwick","2 358","2 524","2 652",1.24,"45.03°N","64.73°W","Nova Scotia"," "," "
61,"Betsiamites","1 625","1 605","1 585",-0.31,"48.95°N","68.65°W","Quebec"," "," "
62,"Biggar","2 213","2 003","1 846",-2.02,"52.05°N","107.98°W","Saskatchewan"," "," "
63,"Bishop's Falls","3 606","3 326","3 111",-1.66,"49.02°N","55.52°W","Newfoundland and Labrador"," "," "
64,"Black Diamond","3 484","3 813","4 084",1.73,"50.70°N","114.23°W","Alberta"," "," "
65,"Blackfalds","3 116","4 571","6 049",7.26,"52.38°N","113.80°W","Alberta"," "," "
66,"Blairmore","1 993","1 830","1 759",-0.98,"49.60°N","114.43°W","Alberta"," "," "
67,"Blenheim","4 795","4 549","4 354",-1.09,"42.33°N","82.00°W","Ontario"," "," "
68,"Blind Bay","1 480","1 626","1 745",1.78,"50.85°N","119.35°W","British Columbia"," "," "
69,"Blind River","2 808","2 659","2 542",-1.12,"46.18°N","82.95°W","Ontario"," "," "
70,"Bobcaygeon","2 854","3 313","3 712",2.88,"44.53°N","78.55°W","Ontario"," ","Kawartha Lakes"
71,"Boissevain","1 495","1 497","1 494",-0.05,"49.23°N","100.05°W","Manitoba"," "," "
72,"Bolton","20 553","24 492","28 005",3.41,"43.88°N","79.73°W","Ontario"," ","Toronto"
73,"Bon Accord","1 532","1 534","1 533",-0.02,"53.83°N","113.42°W","Alberta"," "," "
74,"Bonaventure","1 456","1 453","1 446",-0.12,"48.05°N","65.47°W","Quebec"," "," "
75,"Bonavista","3 781","3 535","3 299",-1.71,"48.65°N","53.13°W","Newfoundland and Labrador"," "," "
76,"Bonnyville","5 709","5 832","5 919",0.37,"54.27°N","110.75°W","Alberta"," "," "
77,"Botwood","3 221","3 052","2 915",-1.14,"49.15°N","55.37°W","Newfoundland and Labrador"," "," "
78,"Bouctouche","1 958","1 911","1 869",-0.55,"46.48°N","64.72°W","New Brunswick"," "," "
79,"Bowden","1 174","1 205","1 228",0.47,"","","Alberta"," "," "
80,"Bow Island","1 704","1 790","1 857",0.92,"49.87°N","111.37°W","Alberta"," "," "
81,"Bowmanville-Newcastle","32 777","38 966","44 472",3.36,"43.90°N","78.68°W","Ontario","Bowmanville - Newcastle"," "
82,"Bracebridge","7 951","8 847","9 589",2.03,"45.03°N","79.30°W","Ontario"," "," "
83,"Bradford","17 070","18 624","19 966",1.75,"44.12°N","79.56°W","Ontario","Bradford West Gwillimbury"," "
84,"Brandon","39 716","41 511","42 585",0.64,"49.84°N","99.96°W","Manitoba"," "," "
85,"Brantford","86 417","90 192","92 538",0.64,"43.15°N","80.26°W","Ontario"," "," "
86,"Bridgenorth-Chemong Park Area","2 279","2 275","2 266",-0.1,"44.50°N","78.33°W","Ontario","Bridgenorth - Chemong Park Area","Kawartha Lakes"
87,"Bridgetown","1 104","1 082","1 062",-0.47,"44.85°N","65.15°W","Nova Scotia"," "," "
88,"Bridgewater","7 782","8 021","8 202",0.56,"44.38°N","64.52°W","Nova Scotia"," "," "
89,"Brighton","4 878","5 338","5 711",1.7,"44.03°N","77.73°W","Ontario"," "," "
90,"Brockville","23 024","23 620","24 062",0.46,"44.61°N","75.70°W","Ontario"," "," "
91,"Bromont","1 025","1 126","1 208",1.77,"45.28°N","72.65°W","Quebec"," "," "
92,"Brooks","11 818","12 569","13 278",1.38,"50.57°N","111.91°W","Alberta"," "," "
93,"Brookside","1 442","1 380","1 329",-0.94,"44.72°N","63.38°W","Nova Scotia","Brookfield"," "
94,"Brownsburg","2 555","2 415","2 304",-1.17,"45.68°N","74.40°W","Quebec"," "," "
95,"Brussels","1 143","1 170","1 188",0.38,"43.75°N","81.25°W","Ontario"," "," "
96,"Buckingham","21 027","22 078","22 867",0.88,"45.58°N","75.42°W","Quebec"," ","Ottawa"
97,"Burford","1 841","1 940","2 015",0.95,"43.11°N","80.42°W","Ontario"," "," "
98,"Burgeo","1 782","1 602","1 469",-2.14,"47.60°N","57.63°W","Newfoundland and Labrador"," "," "
99,"Burns Lake","2 623","2 778","2 898",1.06,"54.22°N","125.77°W","British Columbia"," "," "
100,"Cabano","2 395","2 322","2 260",-0.67,"47.68°N","68.88°W","Quebec"," "," "
101,"Cache Creek","1 056","1 037","1 020",-0.41,"50.80°N","121.32°W","British Columbia"," "," "
102,"Caledon","1 651","1 580","1 523",-0.91,"43.81°N","79.83°W","Ontario"," ","Toronto"
103,"Caledon East","1 974","1 950","1 926",-0.31,"43.87°N","79.87°W","Ontario"," ","Toronto"
104,"Caledonia","9 228","9 740","10 132",0.99,"43.07°N","79.95°W","Ontario"," "," "
105,"Calgary","879 252","988 079","1 078 793",2.22,"51.05°N","114.06°W","Alberta"," ","Calgary"
106,"Calmar","1 902","1 959","2 001",0.53,"53.25°N","113.78°W","Alberta"," "," "
107,"Cambridge Bay","1 309","1 147","1 066",-1.81,"","","Nunavut"," "," "
108,"Campbellford","3 512","3 173","2 991",-1.47,"44.30°N","77.80°W","Ontario"," "," "
109,"Campbell River","31 506","32 884","34 151",0.95,"49.99°N","125.23°W","British Columbia"," "," "
110,"Campbellton","12 210","11 676","11 236",-0.96,"48.00°N","66.68°W","New Brunswick"," "," "
111,"Camrose","14 870","15 620","16 211",0.93,"53.02°N","112.84°W","Alberta"," "," "
112,"Canmore","10 094","10 884","11 785",2.01,"51.09°N","115.35°W","Alberta"," "," "
113,"Cannington","2 007","2 023","2 030",0.09,"44.35°N","79.03°W","Ontario"," "," "
114,"Canora","2 200","2 013","1 871",-1.81,"51.63°N","102.43°W","Saskatchewan"," "," "
115,"Cap-aux-Meules","1 659","1 685","1 701",0.24,"47.38°N","61.87°W","Quebec"," "," "
116,"Cap-Chat","1 442","1 371","1 314",-1.06,"49.08°N","66.68°W","Quebec"," "," "
117,"Capreol","3 471","3 399","3 335",-0.47,"46.70°N","80.92°W","Ontario"," "," "
118,"Caraquet","4 773","4 338","4 012",-1.93,"47.78°N","64.95°W","New Brunswick"," "," "
119,"Carberry","1 513","1 502","1 489",-0.22,"49.87°N","99.35°W","Manitoba"," "," "
120,"Carbonear","7 465","7 199","6 972",-0.8,"47.75°N","53.24°W","Newfoundland and Labrador"," "," "
121,"Cardinal","1 739","1 785","1 817",0.45,"44.78°N","75.37°W","Ontario"," "," "
122,"Cardston","3 475","3 452","3 428",-0.17,"49.20°N","113.32°W","Alberta"," "," "
123,"Carleton","1 173","1 162","1 150",-0.26,"48.10°N","66.10°W","Quebec","Carleton Centre"," "
124,"Carleton Place","9 259","9 658","9 954",0.76,"45.13°N","76.13°W","Ontario"," "," "
125,"Carlisle","2 180","2 377","2 536",1.63,"43.15°N","81.54°W","Ontario"," "," "
126,"Carlyle","1 260","1 257","1 250",-0.14,"49.63°N","102.27°W","Saskatchewan"," "," "
127,"Carman","2 831","2 880","2 910",0.26,"49.50°N","98.00°W","Manitoba"," "," "
128,"Carnduff","1 017","1 012","1 004",-0.2,"49.17°N","101.78°W","Saskatchewan"," "," "
129,"Carstairs","2 254","2 656","3 013",3.2,"51.53°N","114.10°W","Alberta"," "," "
130,"Casselman","2 910","3 294","3 619",2.38,"45.30°N","75.08°W","Ontario"," "," "
131,"Castlegar","8 687","8 354","8 082",-0.82,"49.32°N","117.67°W","British Columbia"," "," "
132,"Causapscal","2 000","1 867","1 764",-1.41,"48.35°N","67.22°W","Quebec"," "," "
133,"Cayuga","1 643","1 575","1 520",-0.88,"42.93°N","79.95°W","Ontario"," "," "
134,"Chandler","2 817","2 751","2 693",-0.53,"48.33°N","64.67°W","Quebec"," "," "
135,"Channel-Port aux Basques","4 330","4 113","3 862",-1.56,"47.58°N","59.17°W","Newfoundland and Labrador"," "," "
136,"Chapais","1 606","1 553","1 508",-0.73,"49.78°N","74.87°W","Quebec"," "," "
137,"Chapleau","2 832","2 354","2 097",-2.85,"47.83°N","83.40°W","Ontario"," "," "
138,"Charlottetown","38 406","38 801","39 685",0.56,"46.24°N","63.14°W","Prince Edward Island"," ","Charlottetown"
139,"Chase","2 470","2 409","2 356",-0.55,"50.82°N","119.68°W","British Columbia"," "," "
140,"Châteauguay","63 258","66 204","68 395",0.82,"","","Quebec"," "," "
141,"Château-Richer","1 210","1 230","1 242",0.24,"","","Quebec","Richer"," "
142,"Chatham","44 156","45 783","46 706",0.5,"42.41°N","82.19°W","Ontario"," ","Chatham-Kent"
143,"Chatham-Douglastown","13 784","13 441","13 133",-0.58,"47.03°N","65.46°W","New Brunswick","Chatham, Chatham - Douglastown"," "
144,"Chemainus","2 706","2 937","3 123",1.55,"48.92°N","123.70°W","British Columbia"," "," "
145,"Chesley","1 880","2 010","2 112",1.25,"44.30°N","81.10°W","Ontario"," "," "
146,"Chester","1 590","1 496","1 422",-1.26,"44.53°N","64.23°W","Nova Scotia"," "," "
147,"Chestermere","3 856","9 564","14 417",10.8,"51.06°N","113.78°W","Alberta"," ","Calgary"
148,"Chesterville","1 498","1 528","1 548",0.33,"45.10°N","75.22°W","Ontario"," "," "
149,"Chetwynd","2 241","2 218","2 195",-0.26,"55.70°N","121.62°W","British Columbia"," "," "
150,"Chibougamou","7 478","7 014","6 653",-1.31,"49.87°N","74.35°W","Quebec","Chibougamoo, Chibougamau"," "
151,"Chicoutimi-Jonquière","108 409","106 103","104 029",-0.49,"48.43°N","71.08°W","Quebec","Chicoutimi, Jonquière, Saguenay, Chicoutimi - Jonquière","Chicoutimi-Jonquière"
152,"Chilliwack","53 335","59 453","64 536",2.07,"49.17°N","121.96°W","British Columbia"," ","Chilliwack"
153,"Chisasibi","3 467","2 579","2 212",-3.76,"53.79°N","78.94°W","Quebec"," "," "
154,"Chute-aux-Outardes","1 968","1 853","1 763",-1.24,"49.12°N","68.38°W","Quebec"," "," "
155,"Clairmont","1 481","1 508","1 527",0.31,"55.27°N","118.80°W","Alberta"," "," "
156,"Clarenville-Shoal Harbour","3 810","3 873","3 908",0.23,"48.15°N","53.97°W","Newfoundland and Labrador"," "," "
157,"Claresholm","3 622","3 700","3 755",0.37,"50.03°N","113.58°W","Alberta"," "," "
158,"Clermont","2 946","2 898","2 853",-0.39,"47.68°N","70.23°W","Quebec"," "," "
159,"Clinton","3 117","3 082","3 047",-0.29,"43.60°N","81.53°W","Ontario"," "," "
160,"Coaldale","6 008","6 177","6 301",0.5,"49.73°N","112.62°W","Alberta"," "," "
161,"Coalhurst","1 476","1 523","1 558",0.57,"49.74°N","112.92°W","Alberta"," "," "
162,"Coaticook","6 907","6 840","6 768",-0.26,"45.13°N","71.80°W","Quebec"," "," "
163,"Cobourg","17 172","18 210","19 019",1.09,"43.96°N","78.17°W","Ontario"," "," "
164,"Cochrane","11 798","13 486","15 646",3.78,"51.19°N","114.47°W","Alberta"," ","Calgary"
165,"Cochrane","4 172","4 072","3 985",-0.54,"49.07°N","81.02°W","Ontario"," "," "
166,"Colborne","2 040","1 992","1 950",-0.53,"44.02°N","77.88°W","Ontario"," "," "
167,"Colchester","2 184","2 212","2 228",0.18,"41.98°N","82.93°W","Ontario"," ","Detroit-Windsor"
168,"Coleraine","1 274","1 283","1 286",0.06,"45.96°N","71.38°W","Quebec"," "," "
169,"Collingwood","15 605","16 269","16 699",0.65,"44.49°N","80.21°W","Ontario"," "," "
170,"Constance Bay","2 327","2 402","2 456",0.56,"45.25°N","75.50°W","Ontario"," ","Ottawa"
171,"Contrecoeur","3 631","4 032","4 091",0.36,"45.89°N","73.21°W","Quebec"," ","Montréal"
172,"Cookshire","1 543","1 483","1 434",-0.84,"45.42°N","71.62°W","Quebec"," "," "
173,"Cookstown","1 449","1 393","1 347",-0.84,"44.21°N","79.65°W","Ontario"," "," "
174,"Corner Brook","20 009","19 976","19 629",-0.44,"48.96°N","57.96°W","Newfoundland and Labrador"," "," "
175,"Cornwall","48 635","48 792","48 819",0.01,"45.03°N","74.74°W","Ontario"," ","Cornwall"
176,"Cornwall","2 209","2 245","2 266",0.23,"46.23°N","63.22°W","Prince Edward Island"," ","Charlottetown"
177,"Courtenay","33 483","37 161","40 202",1.99,"49.69°N","125.00°W","British Columbia"," "," "
178,"Cowansville","11 333","11 376","11 262",-0.25,"45.21°N","72.75°W","Quebec"," "," "
179,"Crabtree","2 212","2 352","2 460",1.13,"45.97°N","73.47°W","Quebec"," "," "
180,"Cranbrook","18 564","18 316","18 078",-0.33,"49.51°N","115.77°W","British Columbia"," "," "
181,"Creemore","1 317","1 289","1 264",-0.49,"44.32°N","80.10°W","Ontario"," "," "
182,"Creston","4 910","4 944","4 958",0.07,"49.10°N","116.52°W","British Columbia"," "," "
183,"Crofton",928,"1 108","1 269",3.45,"","","British Columbia"," "," "
184,"Crossfield","2 399","2 648","2 855",1.9,"51.43°N","114.03°W","Alberta"," "," "
185,"Crystal Beach","6 686","7 418","8 022",1.98,"45.05°N","79.40°W","Ontario"," "," "
186,"Cultus Lake","1 256","1 119","1 042",-1.77,"49.05°N","121.96°W","British Columbia"," "," "
187,"Cumberland","2 618","2 737","2 826",0.8,"49.62°N","125.02°W","British Columbia"," "," "
188,"Dalhousie","4 274","4 033","3 841",-1.21,"48.07°N","66.37°W","New Brunswick"," "," "
189,"Dallas","4 344","4 348","4 340",-0.05,"50.66°N","120.46°W","British Columbia"," "," "
190,"Dalmeny","1 610","1 560","1 516",-0.71,"52.33°N","106.78°W","Saskatchewan"," "," "
191,"Danville","1 733","1 661","1 602",-0.9,"45.78°N","72.02°W","Quebec"," "," "
192,"Dauphin","8 085","7 906","7 746",-0.51,"51.15°N","100.05°W","Manitoba"," "," "
193,"Daveluyville","1 297","1 302","1 302",0,"46.21°N","72.15°W","Quebec"," "," "
194,"Dawson Creek","10 754","10 994","11 156",0.37,"55.76°N","120.24°W","British Columbia"," "," "
195,"Deep River","4 067","4 091","4 099",0.05,"46.10°N","77.50°W","Ontario"," "," "
196,"Deer Lake","3 995","3 971","3 937",-0.21,"49.18°N","57.43°W","Newfoundland and Labrador"," "," "
197,"Dégelis","2 116","1 896","1 735",-2.19,"47.56°N","68.65°W","Quebec"," "," "
198,"Delhi","3 911","4 070","4 187",0.71,"42.85°N","80.50°W","Ontario"," "," "
199,"Desbiens","1 128","1 074","1 031",-1.02,"48.42°N","71.95°W","Quebec"," "," "
200,"Deseronto","1 796","1 824","1 841",0.23,"44.20°N","77.03°W","Ontario"," "," "
201,"Devon","4 969","6 256","7 473",4.54,"53.37°N","113.73°W","Alberta"," ","Edmonton"
202,"Didsbury","3 932","4 275","4 555",1.6,"51.67°N","114.13°W","Alberta"," "," "
203,"Digby","2 131","2 097","2 064",-0.4,"44.62°N","65.77°W","Nova Scotia"," "," "
204,"Disraëli","2 635","2 564","2 503",-0.6,"45.90°N","71.35°W","Quebec","Disraeli"," "
205,"Dolbeau","12 707","12 340","12 026",-0.64,"48.87°N","72.23°W","Quebec","Dolbeau-Mistassini"," "
206,"Donnacona","6 351","6 391","6 404",0.05,"46.67°N","71.73°W","Quebec"," "," "
207,"Dowling","1 638","1 642","1 641",-0.02,"","","Ontario"," "," "
208,"Drayton","1 520","1 692","1 835",2.05,"43.75°N","80.67°W","Ontario"," "," "
209,"Drayton Valley","6 090","6 893","7 578",2.4,"53.22°N","114.98°W","Alberta"," "," "
210,"Dresden","2 582","2 496","2 424",-0.73,"42.58°N","82.17°W","Ontario"," "," "
211,"Drumheller","6 556","6 544","6 515",-0.11,"51.47°N","112.71°W","Alberta"," "," "
212,"Drummondville","58 552","62 659","65 867",1.26,"45.89°N","72.49°W","Quebec"," ","Drummondville"
213,"Dryden","6 555","6 613","6 641",0.11,"49.78°N","92.83°W","Ontario"," "," "
214,"Duck Lake","5 603","5 643","5 660",0.08,"49.23°N","116.63°W","British Columbia"," "," "
215,"Duncan","21 515","23 136","24 421",1.36,"48.78°N","123.70°W","British Columbia"," "," "
216,"Dundalk","1 972","1 971","1 965",-0.08,"44.17°N","80.38°W","Ontario"," "," "
217,"Dunnville","5 686","5 729","5 747",0.08,"42.91°N","79.62°W","Ontario"," "," "
218,"Dunville","3 651","3 133","2 770",-3.03,"48.28°N","53.88°W","Newfoundland and Labrador"," "," "
219,"Durham","2 709","2 768","2 807",0.35,"44.18°N","80.82°W","Ontario"," "," "
220,"Dutton","1 374","1 448","1 504",0.95,"42.66°N","81.50°W","Ontario"," "," "
221,"East Angus","3 575","3 362","3 195",-1.27,"45.48°N","71.67°W","Quebec"," "," "
222,"East Broughton","2 367","2 351","2 332",-0.2,"46.22°N","71.08°W","Quebec"," "," "
223,"Edmonton","782 163","862 544","928 760",1.87,"53.57°N","113.54°W","Alberta"," ","Edmonton"
224,"Edmundston","14 872","14 110","14 103",-0.01,"47.38°N","68.34°W","New Brunswick"," "," "
225,"Edson","7 585","8 098","8 507",1.24,"53.58°N","116.42°W","Alberta"," "," "
226,"Eganville","1 230","1 240","1 245",0.1,"45.53°N","77.10°W","Ontario"," "," "
227,"Elkford","2 574","2 443","2 339",-1.08,"50.06°N","114.88°W","British Columbia"," "," "
228,"Elk Point","1 445","1 487","1 518",0.52,"53.90°N","110.90°W","Alberta"," "," "
229,"Elliot Lake","11 842","11 420","11 072",-0.77,"46.39°N","82.66°W","Ontario"," "," "
230,"Elmira","8 155","8 794","9 302",1.41,"43.60°N","80.55°W","Ontario"," ","Kitchener"
231,"Elmvale","2 176","2 183","2 183",0,"44.58°N","79.87°W","Ontario"," "," "
232,"Embrun","4 468","5 655","6 777",4.63,"45.29°N","75.30°W","Ontario"," "," "
233,"Enderby","2 823","2 843","2 851",0.07,"50.55°N","119.13°W","British Columbia"," "," "
234,"Enfield","3 250","3 415","3 537",0.88,"44.93°N","63.54°W","Nova Scotia"," "," "
235,"Englehart","1 595","1 494","1 416",-1.33,"47.82°N","79.87°W","Ontario"," "," "
236,"Erin","2 890","2 831","2 778",-0.47,"43.77°N","80.07°W","Ontario"," "," "
237,"Espanola","4 433","4 334","4 247",-0.51,"46.25°N","81.77°W","Ontario"," "," "
238,"Essex","7 002","7 105","7 167",0.22,"42.17°N","82.82°W","Ontario"," ","Detroit-Windsor"
239,"Esterhazy","2 348","2 336","2 318",-0.19,"50.65°N","102.08°W","Saskatchewan"," "," "
240,"Estevan","10 242","10 084","9 896",-0.47,"49.14°N","103.01°W","Saskatchewan"," "," "
241,"Everett","1 146","1 385","1 601",3.69,"44.25°N","80.00°W","Ontario"," "," "
242,"Exeter","4 452","4 657","4 810",0.81,"43.35°N","81.48°W","Ontario"," "," "
243,"Fairview","3 155","3 297","3 406",0.82,"56.07°N","118.40°W","Alberta"," "," "
244,"Farnham","5 963","6 148","6 278",0.52,"45.28°N","72.97°W","Quebec"," "," "
245,"Fenelon Falls","1 890","2 164","2 398",2.6,"44.53°N","78.75°W","Ontario"," "," "
246,"Fergus","16 732","18 211","19 402",1.6,"43.70°N","80.37°W","Ontario"," "," "
247,"Ferme-Neuve","2 081","1 936","1 825",-1.47,"46.70°N","75.45°W","Quebec"," "," "
248,"Fermont","2 918","2 623","2 407",-2.13,"52.79°N","67.06°W","Quebec"," "," "
249,"Fernie","5 002","4 621","4 333",-1.6,"49.50°N","115.07°W","British Columbia"," "," "
250,"Filion","1 227","1 854","2 475",7.49,"45.81°N","74.10°W","Quebec"," ","Montréal"
251,"Flin Flon","6 267","5 836","5 507",-1.44,"54.77°N","101.89°W","Manitoba"," "," "
252,"Foam Lake","1 218","1 123","1 050",-1.67,"51.65°N","103.53°W","Saskatchewan"," "," "
253,"Forest","2 857","2 899","2 924",0.21,"43.10°N","82.00°W","Ontario"," "," "
254,"Forestville","3 512","3 145","2 877",-2.2,"48.73°N","69.07°W","Quebec"," "," "
255,"Fort Albany",441,"1 805","2 312",6.38,"","","Ontario"," "," "
256,"Fort-Coulonge","2 864","2 419","2 168",-2.7,"45.85°N","76.75°W","Quebec"," "," "
257,"Fort Erie","15 133","15 744","16 194",0.71,"42.91°N","78.93°W","Ontario"," ","Buffalo-Saint Catharines"
258,"Fort Frances","8 275","7 972","7 690",-0.9,"48.62°N","93.42°W","Ontario"," "," "
259,"Fort MacLeod","2 910","2 982","3 034",0.43,"49.73°N","113.40°W","Alberta","Fort Macleod"," "
260,"Fort Nelson","4 188","4 514","4 773",1.4,"58.82°N","122.53°W","British Columbia"," "," "
261,"Fort Qu'Appelle","2 184","2 134","2 088",-0.54,"50.77°N","103.78°W","Saskatchewan"," "," "
262,"Fort Saint James","2 381","1 845","1 627",-3.09,"54.43°N","124.25°W","British Columbia"," "," "
263,"Fort Saint John","16 226","17 692","18 700",1.39,"56.25°N","120.85°W","British Columbia"," "," "
264,"Fortune","1 161","1 018",915,-2.63,"","","Newfoundland and Labrador"," "," "
265,"Fox Creek","2 337","2 278","2 229",-0.54,"54.40°N","116.84°W","Alberta"," "," "
266,"Frankford","2 197","2 299","2 375",0.82,"44.20°N","77.60°W","Ontario"," "," "
267,"Fraser Lake","1 268","1 113","1 026",-2.01,"59.72°N","135.05°W","British Columbia","Fraser"," "
268,"Fredericton","54 068","56 245","57 795",0.68,"45.96°N","66.66°W","New Brunswick"," ","Fredericton"
269,"Fruitvale","3 773","3 627","3 508",-0.83,"49.12°N","117.55°W","British Columbia"," "," "
270,"Gambo","1 768","1 745","1 721",-0.35,"48.78°N","54.22°W","Newfoundland and Labrador"," "," "
271,"Gananoque","5 167","5 285","5 364",0.37,"44.33°N","76.17°W","Ontario"," "," "
272,"Gander","9 391","9 410","9 267",-0.38,"48.95°N","54.65°W","Newfoundland and Labrador"," "," "
273,"Gaspé","2 921","3 187","3 401",1.64,"48.82°N","64.51°W","Quebec"," "," "
274,"Gentilly","2 079","2 027","1 982",-0.56,"46.35°N","72.45°W","Quebec"," ","Trois-Rivières"
275,"Georgetown","31 510","36 690","41 202",2.94,"43.66°N","79.93°W","Ontario","Halton Hills","Toronto"
276,"Geraldton","2 224","2 012","1 898",-1.45,"49.72°N","86.97°W","Ontario"," "," "
